,first_date,return_percent
252,1892-01-01,5.963856323900907
253,1892-02-01,6.066441726885485
254,1892-03-01,6.149731318787333
255,1892-04-01,6.322391477361222
256,1892-05-01,6.474456636139814
257,1892-06-01,6.493029360616198
258,1892-07-01,6.58443918269096
259,1892-08-01,6.6417576424236735
260,1892-09-01,6.797187933165039
261,1892-10-01,6.80636338664522
262,1892-11-01,6.631081168738873
263,1892-12-01,6.726304549073059
264,1893-01-01,6.651419105331935
265,1893-02-01,6.886274760544642
266,1893-03-01,7.061445284372736
267,1893-04-01,6.898427582870825
268,1893-05-01,7.067449985433982
269,1893-06-01,7.135345882068256
270,1893-07-01,7.411134962774946
271,1893-08-01,7.486474879739569
272,1893-09-01,7.253356318167392
273,1893-10-01,7.106687536373402
274,1893-11-01,7.146379987067997
275,1893-12-01,7.444309798785498
276,1894-01-01,7.563371920446227
277,1894-02-01,7.561859803346982
278,1894-03-01,7.387044143435384
279,1894-04-01,7.227776277310705
280,1894-05-01,7.3634764029405275
281,1894-06-01,7.505940571340175
282,1894-07-01,7.778432398020141
283,1894-08-01,7.745447440951825
284,1894-09-01,7.65297950043633
285,1894-10-01,7.728411959442538
286,1894-11-01,7.910415459253306
287,1894-12-01,8.17319298188115
288,1895-01-01,8.281403608703108
289,1895-02-01,8.394582473336264
290,1895-03-01,8.310902522933738
291,1895-04-01,8.103830357182652
292,1895-05-01,8.040236752920137
293,1895-06-01,8.060590130071631
294,1895-07-01,8.177743448148188
295,1895-08-01,8.1512516992031
296,1895-09-01,8.209836916739889
297,1895-10-01,8.38784132770889
298,1895-11-01,8.601950900064192
299,1895-12-01,8.90915802359784
300,1896-01-01,8.924182416224102
301,1896-02-01,8.817468238054582
302,1896-03-01,8.645240519303755
303,1896-04-01,8.50229138325178
304,1896-05-01,8.560056902500746
305,1896-06-01,8.820618003055536
306,1896-07-01,9.230494189295534
307,1896-08-01,9.550296031387195
308,1896-09-01,9.425693088836052
309,1896-10-01,9.27989326977563
310,1896-11-01,9.073400130428965
311,1896-12-01,9.312741867453035
312,1897-01-01,9.209694004931235
313,1897-02-01,9.34705005813916
314,1897-03-01,9.41934864146381
